N,X1,X2
1000,2353.55,-96235.9
2000,-845.795,-103301
3000,754.67,-99223.9
4000,-604.736,-96633.9
5000,-1452.66,-101660
6000,95.576,-96797.3
7000,-78.4854,-98338.5
8000,82.3055,-97189.8
9000,-438.965,-100606
10000,-559.867,-100350
11000,106.227,-101342
12000,-911.176,-99656.4
13000,-537.278,-98416.6
14000,-1711.32,-97380.6
15000,-742.154,-98286.7
16000,-938.185,-98587.4
17000,-394.201,-99398.4
18000,-1023.86,-99719.3
19000,-446.36,-99059.2
20000,-1037.86,-98406.4
21000,-329.585,-97709.1
22000,-828.613,-98733.6
23000,-275.157,-97656.3
24000,-865.043,-98690.4
25000,-903.601,-98573.9
26000,-498.802,-99148.7
27000,-559.668,-98859.3
28000,-729.568,-98903.9
29000,-594.475,-98868.9
30000,-673.71,-97253.6
31000,-925.566,-98550.2
32000,-596.421,-100143
33000,-278.602,-98955.6
34000,-725.158,-98306.7
35000,-488.621,-98025.3
36000,-822.509,-98904.4
37000,-1003.22,-98365.7
38000,-447.459,-99078.8
39000,-584.601,-99083.1
40000,-619.077,-99694.9
41000,-579.019,-98824.9
42000,-878.411,-98477.6
43000,-704.107,-99445.6
44000,-907.734,-98831.8
45000,-699.211,-99454.4
46000,-1101,-98884.9
47000,-732.488,-99708.7
48000,-184.436,-99026.2
49000,-509.252,-99751.4
50000,-698.575,-99199.5
51000,-827.137,-99239.8
52000,-427.661,-99927.9
53000,-828.491,-98657.9
54000,-707.322,-98539.1
55000,-553.561,-98801.8
56000,-1023.84,-98462.2
57000,-753.198,-98872.3
58000,-915.032,-99184.9
59000,-448.921,-98762.3
60000,-535.13,-98890.9
61000,-516.146,-98339.9
62000,-577.56,-98754.4
63000,-797.04,-98795.4
64000,-805.67,-98764
65000,-555.789,-99411.3
66000,-456.409,-99231.9
67000,-467.331,-99085.4
68000,-563.665,-98342.6
69000,-698.952,-100060
70000,-988.921,-98636.6
71000,-858.378,-98736
72000,-517.03,-99054.3
73000,-566.397,-99454.7
74000,-633.828,-98581.1
75000,-641.383,-99108.8
76000,-685.218,-99255.4
77000,-833.833,-99272.9
78000,-393.434,-98509.3
79000,-598.457,-98899.2
80000,-919.585,-99018.7
81000,-645.232,-97737.4
82000,-537.064,-98894.6
83000,-583.873,-99093.1
84000,-402.603,-98721.3
85000,-645.125,-99686.7
86000,-668.426,-99223.3
87000,-614.255,-99694.8
88000,-378.955,-98864
89000,-768.583,-98466.3
90000,-567.19,-99044.1
91000,-737.356,-98237.2
92000,-584.48,-98143.5
93000,-527.08,-98791
94000,-377.993,-99118.6
95000,-773.56,-98883.7
96000,-907.316,-99165
97000,-496.25,-98965.6
98000,-547.239,-99265.8
99000,-910.382,-98997.1
100000,-538.162,-99276.3
