N,ci1,ci2
1000,-1105.38,-457.235
2000,-655.843,-279.355
3000,-784.294,-445.862
4000,-974.423,-657.277
5000,-747.422,-502.029
6000,-858.542,-629.11
7000,-683.884,-467.021
8000,-677.944,-473.619
9000,-800.786,-605.357
10000,-747.785,-553.304
11000,-785.81,-609.025
12000,-728.049,-563.049
13000,-738.606,-566.497
14000,-664.611,-508.986
15000,-742.237,-589.325
16000,-738.894,-595.21
17000,-689.333,-559.393
18000,-700.883,-562.498
19000,-724.641,-589.679
20000,-777.229,-653.313
21000,-748.994,-620.157
22000,-740.341,-626.019
23000,-768.201,-654.285
24000,-768.53,-658.22
25000,-753.184,-643.353
26000,-704.744,-594.909
27000,-743.607,-639.355
28000,-726.363,-633.654
29000,-720.228,-605.989
30000,-686.253,-587.211
31000,-713.128,-610.992
32000,-652.655,-561.737
33000,-727.772,-625.532
34000,-716.42,-626.083
35000,-730.868,-632.081
36000,-695.076,-614.298
37000,-710.139,-609.037
38000,-693.431,-594.383
39000,-703.365,-612.436
40000,-719.652,-624.139
41000,-698.344,-604.502
42000,-730.623,-631.059
43000,-699.364,-616.349
44000,-721.087,-643.544
45000,-740.519,-650.308
46000,-669.065,-584.431
47000,-691.605,-610.321
48000,-739.227,-653.324
49000,-685.792,-597.905
50000,-670.995,-596.117
51000,-665.21,-592.323
52000,-660.808,-585.014
53000,-716.125,-644.573
54000,-726.098,-637.815
55000,-691.264,-613.158
56000,-679.12,-601.037
57000,-714.078,-634.673
58000,-701.479,-636.738
59000,-671.447,-593.227
60000,-679.027,-600.235
61000,-717.935,-648.088
62000,-696.98,-611.611
63000,-716.756,-639.764
64000,-696.206,-610.159
65000,-713.689,-642.537
66000,-690.601,-615.55
67000,-690.278,-618.857
68000,-692.794,-630.443
69000,-709.721,-634.596
70000,-709.546,-642.132
71000,-715.919,-654.383
72000,-688.883,-618.521
73000,-694.116,-624.662
74000,-678.006,-605.478
75000,-684.124,-615.169
76000,-694.213,-626.077
77000,-680.83,-617.004
78000,-668.642,-607.318
79000,-703.503,-635.176
80000,-682.108,-621.535
81000,-685.416,-624.148
82000,-680.09,-618.997
83000,-678.838,-619.908
84000,-666.697,-605.27
85000,-675.261,-614.213
86000,-686.367,-629.103
87000,-705.48,-646.012
88000,-682.648,-619.799
89000,-680.089,-615.734
90000,-671.526,-607.383
91000,-677.555,-617.713
92000,-708.143,-644.095
93000,-715.887,-660.547
94000,-722.87,-664.342
95000,-694.393,-633.915
96000,-674.81,-620.953
97000,-701.893,-643.437
98000,-694.329,-634.612
99000,-691.494,-645.049
100000,-692.378,-635.497
