N,ci1,ci2
1000,-827.728,-473.074
2000,-808.905,-587.175
3000,-789.454,-562.95
4000,-813.407,-617.12
5000,-687.185,-560.932
6000,-737.74,-579.835
7000,-726.2,-578.17
8000,-732.696,-609.69
9000,-774.465,-655.699
10000,-657.116,-553.006
11000,-690.932,-589.53
12000,-678.074,-583.847
13000,-717.524,-626.004
14000,-713.555,-614.706
15000,-692.395,-606.537
16000,-721.097,-646.083
17000,-681.51,-602.648
18000,-736.302,-643.285
19000,-691.294,-604.391
20000,-693.634,-615.259
21000,-710.93,-631.959
22000,-706.877,-638.165
23000,-696.889,-627.497
24000,-672.648,-596.828
25000,-699.466,-621.525
26000,-698.662,-626.345
27000,-703.449,-634.394
28000,-681.547,-616.129
29000,-700.39,-630.379
30000,-690.557,-628.297
31000,-726.469,-668.861
32000,-697.878,-636.162
33000,-702.013,-648.054
34000,-687.839,-635.745
35000,-703.7,-648.579
36000,-729.526,-669.873
37000,-651.01,-599.409
38000,-690.618,-634.636
39000,-680.878,-624.907
40000,-699.337,-654.102
41000,-680.161,-623.976
42000,-694.066,-637.151
43000,-688.283,-632.716
44000,-689.816,-638.608
45000,-685.788,-634.048
46000,-693.944,-646.091
47000,-679.569,-632.349
48000,-685.256,-633.75
49000,-699.995,-650.837
50000,-705.25,-652.763
51000,-657.206,-610.634
52000,-678.497,-632.025
53000,-672.749,-628.015
54000,-681.225,-637.918
55000,-676.04,-633.784
56000,-681.877,-634.607
57000,-675.9,-629.627
58000,-698.034,-649.431
59000,-671.086,-627.824
60000,-679.765,-634.311
61000,-679.819,-634.558
62000,-692.66,-649.239
63000,-678.691,-629.876
64000,-669.848,-630.835
65000,-688.787,-647.591
66000,-679.841,-633.112
67000,-665.427,-624.539
68000,-687.098,-646.245
69000,-688.036,-647.642
70000,-668.706,-628.406
71000,-671.263,-632.882
72000,-687.97,-649.566
73000,-687.34,-648.479
74000,-687.013,-650.49
75000,-689.218,-647.439
76000,-671.128,-633.944
77000,-671.313,-633.458
78000,-691.508,-651.592
79000,-669.241,-629.064
80000,-669.089,-632.055
81000,-667.044,-625.197
82000,-686.517,-648.123
83000,-678.365,-642.534
84000,-688.067,-647.013
85000,-683.134,-644.743
86000,-684.918,-650.252
87000,-667.076,-633.449
88000,-679.39,-641.758
89000,-703.247,-661.498
90000,-683.789,-649.882
91000,-672.733,-637.056
92000,-671.038,-637.651
93000,-681.627,-643.331
94000,-659.321,-624.662
95000,-691.634,-652.871
96000,-679.937,-644.331
97000,-701.521,-667.225
98000,-675.612,-643.308
99000,-677,-634.287
100000,-680.033,-640.752
