K,N,value
35,1000,4974.52
35,2000,4606.08
35,3000,4862.68
35,4000,4730.1
35,5000,4869.91
35,6000,4864.08
35,7000,4619.19
35,8000,4891.9
35,9000,4779.83
35,10000,4774.09
35,11000,4924.62
35,12000,4850.82
35,13000,4812.51
35,14000,4838.85
35,15000,4852.94
35,16000,4824.9
35,17000,4976.05
35,18000,4699.89
35,19000,4785.1
35,20000,4932.58
70,1000,5102.89
70,2000,4563.73
70,3000,4813.4
70,4000,4611.49
70,5000,4448.37
70,6000,4543.69
70,7000,4671.71
70,8000,4600.33
70,9000,4624.17
70,10000,4595.75
70,11000,4762.82
70,12000,4584.62
70,13000,4618.35
70,14000,4636.43
70,15000,4652.8
70,16000,4709.56
70,17000,4755.44
70,18000,4718.09
70,19000,4609.84
70,20000,4763.34
105,1000,4940.87
105,2000,4689.27
105,3000,4697.6
105,4000,4479.07
105,5000,4803.43
105,6000,4684.19
105,7000,4441.28
105,8000,4600.23
105,9000,4592.59
105,10000,4511.87
105,11000,4540.19
105,12000,4632.09
105,13000,4689.54
105,14000,4454.19
105,15000,4602.84
105,16000,4655.11
105,17000,4649.19
105,18000,4773.17
105,19000,4624.95
105,20000,4596.66
140,1000,5110.32
140,2000,4601.58
140,3000,4745.71
140,4000,4459.74
140,5000,4673.76
140,6000,4530.96
140,7000,4687.16
140,8000,4695.89
140,9000,4558.76
140,10000,4631.52
140,11000,4602.29
140,12000,4590.71
140,13000,4558.05
140,14000,4513.83
140,15000,4621.91
140,16000,4632.52
140,17000,4524.08
140,18000,4516.15
140,19000,4643.54
140,20000,4469.34
175,1000,4307.32
175,2000,4744.05
175,3000,4672.46
175,4000,4346.57
175,5000,4505
175,6000,4637.69
175,7000,4547.11
175,8000,4482.93
175,9000,4550.36
175,10000,4526.81
175,11000,4481.38
175,12000,4559.96
175,13000,4515.9
175,14000,4471.93
175,15000,4556.51
175,16000,4518.63
175,17000,4693.23
175,18000,4522.14
175,19000,4494.27
175,20000,4576.98
210,1000,4507.52
210,2000,4552.86
210,3000,4628.15
210,4000,4535.3
210,5000,4527.5
210,6000,4578.03
210,7000,4542.49
210,8000,4652.26
210,9000,4590.3
210,10000,4454.05
210,11000,4456.22
210,12000,4389.77
210,13000,4654.57
210,14000,4693.79
210,15000,4472.6
210,16000,4524.57
210,17000,4515.94
210,18000,4462.59
210,19000,4524.28
210,20000,4497.05
245,1000,4448.47
245,2000,4234.85
245,3000,4554.37
245,4000,4375.17
245,5000,4569.27
245,6000,4487.27
245,7000,4670.52
245,8000,4700.9
245,9000,4423.92
245,10000,4508.03
245,11000,4582.82
245,12000,4516.16
245,13000,4361.27
245,14000,4573.42
245,15000,4534.7
245,16000,4475.13
245,17000,4486.75
245,18000,4516.69
245,19000,4481.04
245,20000,4446.16
280,1000,4433.92
280,2000,4628
280,3000,4257.2
280,4000,4499.15
280,5000,4586.29
280,6000,4464.73
280,7000,4592.57
280,8000,4387.73
280,9000,4538.52
280,10000,4526.67
280,11000,4526.67
280,12000,4440.53
280,13000,4543.28
280,14000,4406.4
280,15000,4351.64
280,16000,4642.28
280,17000,4367.35
280,18000,4520.17
280,19000,4489.44
280,20000,4492.72
315,1000,4448.27
315,2000,4474.3
315,3000,4803.6
315,4000,4342.39
315,5000,4518.09
315,6000,4511.76
315,7000,4381.57
315,8000,4416.77
315,9000,4457.48
315,10000,4420.93
315,11000,4506.4
315,12000,4639.24
315,13000,4456.4
315,14000,4435.44
315,15000,4395.89
315,16000,4508.13
315,17000,4390.11
315,18000,4547.88
315,19000,4429.29
315,20000,4462.88
350,1000,4532.15
350,2000,4015.03
350,3000,4693.01
350,4000,4524.16
350,5000,4446.72
350,6000,4549.26
350,7000,4516.39
350,8000,4535.65
350,9000,4555.22
350,10000,4449.8
350,11000,4461.17
350,12000,4516.37
350,13000,4469.83
350,14000,4489.53
350,15000,4363.18
350,16000,4573.72
350,17000,4429.14
350,18000,4381.29
350,19000,4477.2
350,20000,4445.79
